doc_type,file_path,sentence_id,previous_sentence,sentence,next_sentence,target_word,concept,category,n
CONVRSN,KCP,3571,Look.,He might have got a **flea**.,He might have got a flea Rudy.,flea,flea,flee or insects,141
CONVRSN,KCP,3572,He might have got a flea.,He might have got a **flea** Rudy.,I doubt it .,flea,flea,flee or insects,141
CONVRSN,KCP,5029,it in the fur though,get him a **flea** collar,"The trouble is, if you put, I bought him one, but it knots all his fur up",flea,flea,flee or insects,141
OTHERSP,JSH,119,This year seventy five jobs lost at  last week and there's four hundred job losses that are currently being negotia negotiated in United Engineering Steels in Sheffield and Rotherham.,That regeneration project is a **flea** on a dog's back into the jobs that have been lost in that  area at the moment.,When are we going to meet the needs of those areas for jobs and not have these things where we're getting less than twenty percent job replacement through g regeneration.,flea,flea,flee or insects,141
CONVRSN,KBG,887,What wash?,Mum can I sing   I'm a little a **flea** ?,Sing happy birthday.,flea,flea,flee or insects,141
CONVRSN,KCP,3576,"You see, see they do  most dogs go down the fields.",Quite possibly he has got a **flea** duck.,I sprayed him with that stuff.,flea,flea,flee or insects,141
OTHERSP,KLY,230,"It's a lie and I tell you why it isn't the southern problem, it's every region's problem.","Every region here got this problem because all of you, every one of you have got local authority workers and other workers and Tylers is like a **flea** on a dog's back it's creeping in and they going, getting everywhere.","Now I work for a local authority so I've got a big interest in this, but I've also been involved as John will remember in a strike.",flea,flea,flee or insects,141
CONVRSN,KST,2241,Right.,You got the **flea** powder?,Yeah.,flea,flea,flee or insects,141
NONAC,BMB,878,"A company such as T&L, he says, cannot afford to miss out on significant discoveries these large organisations make.","‘We can be like a **flea** on their backs, but we have to be ready when they turn over.",Otherwise we'll be a squashed flea.’,flea,flea,flee or insects,141
NONAC,AC9,1610,"Furthermore, they would be viewed as a single entity from a collections point of view.","But (the pedant may pursue the point), what if the **flea** and its garments were housed in separate locations?","Then say so in the record, the pragmatist would counter.",flea,flea,flee or insects,141
OTHERPUB,FTU,879,"Sometimes, turning a corner from some leisurely alley, you feel you have been thrust into the coruscating life of a country fair.","On Tuesdays and Fridays, for example, the old quarter is busy with the fruit, flower and vegetable markets, and on the last Saturday of every month, it is enlivened by the traditional **flea** market.","On these occasions, it is hard to realise that not so very far away, industry and commerce are hard at work.",flea,flea,flee or insects,141
ACPROSE,J7H,19,"""The flea"" by John Donne dramatises a conventional poetic situation, in which an eager lover tries to dissuade a reluctant partner from her coy attitude to sexual behaviour.","The well-known argument is that the woman's refusal to concede to sexual intercourse is totally unjustified, since the two bodies have in fact already been made one by a **flea**, who has been sucking blood from them both.","The first and second person pronouns ""me"" and ""thou"" / ""thee"" and the opening imperative ""Marke"" establish a situation of direct address involving a speaking persona and a (silent) addressee.",flea,flea,flee or insects,141
FICTION,HWM,2451,And something else now: two tubes of ointment.,"A little bit of each (Janet maintained) could do no possible harm, unsure as Shirley was whether the offending insect had been wasp, bee, gnat, **flea**, or mosquito.","For five minutes after the medication, the two women sat on the bed and talked.",flea,flea,flee or insects,141
OTHERPUB,C8U,702,I gave up.,"Giving her the name Emily, I decided to adopt her, bought a packet of **flea** powder and that was that.","I first discovered Emily's dubious devotion to duty in Cannes, when a French Moroccan chap caught hold of my arm in an attempt to sell me a lurid rug.",flea,flea,flee or insects,141
